year,USCensus,PopulationBureau,UN,HYDE,Maddison
0,-1,300000000,300000000,-1,230820000
14,-1,-1,-1,-1,-1
200,-1,-1,-1,-1,-1
350,-1,-1,-1,-1,-1
400,-1,-1,-1,-1,-1
500,-1,-1,-1,-1,-1
600,-1,-1,-1,-1,-1
700,-1,-1,-1,-1,-1
800,-1,-1,-1,-1,-1
900,-1,-1,-1,-1,-1
1000,-1,-1,310000000,-1,267573000
1100,-1,-1,-1,-1,-1
1200,-1,450000000,-1,-1,-1
1250,-1,-1,400000000,-1,-1
1300,-1,-1,-1,-1,-1
1340,-1,-1,-1,-1,-1
1400,-1,-1,-1,-1,-1
1500,-1,-1,500000000,-1,438428000
1600,-1,-1,-1,-1,556148000
1650,-1,500000000,-1,-1,-1
1700,-1,-1,-1,640035774,603490000
1710,-1,-1,-1,662378306,-1
1720,-1,-1,-1,679615896,-1
1730,-1,-1,-1,689283580,-1
1740,-1,-1,-1,769991547,-1
1750,-1,795000000,791000000,824276110,-1
1760,-1,-1,-1,846137329,-1
1770,-1,-1,-1,864445832,-1
1780,-1,-1,-1,949409344,-1
1790,-1,-1,-1,982617842,-1
1800,-1,-1,978000000,980851296,-1
1810,-1,-1,-1,1045073963,-1
1820,-1,-1,-1,1069841690,1041834000
1830,-1,-1,-1,1138392564,-1
1840,-1,-1,-1,1192729394,-1
1850,-1,1265000000,1262000000,1244327949,-1
1860,-1,-1,-1,1270044073,-1
1870,-1,-1,-1,1309430136,1271915000
1875,-1,-1,-1,-1,-1
1880,-1,-1,-1,1397685022,-1
1890,-1,-1,-1,1516025314,-1
1900,-1,1656000000,1650000000,1633848213,1563622000
1910,-1,-1,1750000000,1753594443,-1
1913,-1,-1,-1,-1,1791091000
1920,-1,-1,1860000000,1888034127,-1
1925,-1,-1,-1,-1,-1
1930,-1,-1,2070000000,2073363421,-1
1940,-1,-1,2300000000,2299541939,-1
1950,2555974605,2516000000,2529346000,2528313293,2524324000
1955,2780923093,-1,2763453000,2767727535,2766471000
1960,3041697768,-1,3023358000,3035624545,3038795000
1962,3138922062,-1,-1,3155862958,3132691000
1965,3349287332,-1,3331670000,3351348699,3328882000
1966,3419728217,-1,-1,3420389193,3397631000
1970,3711961664,-1,3685777000,3696590163,3685058000
1973,3941550996,-1,-1,3923325629,3916489000
1975,4088611586,-1,4061317000,4073741819,4065408000
1980,4452547522,-1,4437609000,4442296596,4435598000
1985,4852051940,-1,4846247000,4843949085,4830813000
1990,5283687429,-1,5290452000,5279521283,5259502000
1995,5696676739,5760000000,5713073000,5692354537,5677287000
1998,5932090951,-1,-1,5930407103,5914930000
1999,6008254795,-1,-1,6008326071,5997967000
2000,6083550220,-1,6115367000,6085574386,6071144000
2001,6159242510,-1,-1,-1,6149006000
2002,6234361771,6215000000,-1,6238183321,-1
2005,6456443080,6477000000,6512276000,6464751609,-1
2006,6530984631,6555000000,-1,6540285038,-1
2007,6606214786,6625000000,-1,6615854053,-1
2008,6681112529,6705000000,-1,6691483957,-1
2009,6755987239,-1,-1,-1,-1
2010,6830586985,-1,6908688000,6842925208,-1
2015,7200008584,-1,7302186000,7219433211,-1
2020,7557514266,-1,7674833000,7577890552,-1
2025,7892758722,8000000000,8011533000,7905241284,-1
2030,8202205367,-1,8308895000,8199106302,-1
2035,8487066951,-1,8570570000,-1,-1
2040,8748743446,-1,8801196000,-1,-1
2045,8987418540,-1,8996344000,-1,-1
2050,9202458484,9352000000,9149984000,-1,-1
